"DATA No","DATE","TIME","SensorId","Value"
0,2020/05/13,07:59:46,2,1.028125E+02
1,2020/05/13,08:00:00,1,0.000000E+00
2,2020/05/13,08:00:01,2,3.093750E+01
3,2020/05/13,08:00:15,1,0.000000E+00
4,2020/05/13,08:00:16,2,6.406251E+01
5,2020/05/13,08:00:30,1,0.000000E+00
6,2020/05/13,08:00:31,2,1.075781E+02
7,2020/05/13,08:00:45,1,0.000000E+00
8,2020/05/13,08:00:46,2,0.000000E+00
9,2020/05/13,08:01:00,1,0.000000E+00
10,2020/05/13,08:01:01,2,0.000000E+00
11,2020/05/13,08:01:15,1,0.000000E+00
12,2020/05/13,08:01:16,2,1.068750E+02
13,2020/05/13,08:01:30,1,0.000000E+00
14,2020/05/13,08:01:31,2,1.086719E+02
15,2020/05/13,08:01:45,1,0.000000E+00
16,2020/05/13,08:01:46,2,0.000000E+00
17,2020/05/13,08:02:00,1,8.664063E+01
18,2020/05/13,08:02:01,2,1.929688E+01
19,2020/05/13,08:02:15,1,1.976563E+01
20,2020/05/13,08:02:16,2,1.125000E+01
21,2020/05/13,08:02:30,1,1.025781E+02
22,2020/05/13,08:02:31,2,2.554688E+01
23,2020/05/13,08:02:45,1,1.162500E+02
24,2020/05/13,08:02:46,2,0.000000E+00
25,2020/05/13,08:03:00,1,1.123438E+02
26,2020/05/13,08:03:01,2,0.000000E+00
27,2020/05/13,08:03:15,1,6.171875E+01
28,2020/05/13,08:03:16,2,1.063281E+02
29,2020/05/13,08:03:30,1,1.152344E+02
30,2020/05/13,08:03:31,2,0.000000E+00
31,2020/05/13,08:03:45,1,1.154688E+02
32,2020/05/13,08:03:46,2,1.213281E+02
33,2020/05/13,08:04:00,1,1.153125E+02
34,2020/05/13,08:04:01,2,1.001563E+02
35,2020/05/13,08:04:15,1,5.804688E+01
36,2020/05/13,08:04:16,2,0.000000E+00
37,2020/05/13,08:04:30,1,1.057031E+02
38,2020/05/13,08:04:31,2,0.000000E+00
39,2020/05/13,08:04:45,1,1.765625E+01
40,2020/05/13,08:04:46,2,0.000000E+00
41,2020/05/13,08:05:00,1,1.177344E+02
42,2020/05/13,08:05:01,2,0.000000E+00
43,2020/05/13,08:05:15,1,1.135156E+02
44,2020/05/13,08:05:16,2,0.000000E+00
